代码	名称	分组
600900	长江电力	A股
002142	宁波银行	A股
600078	澄星股份	A股
515220	煤炭ETF国泰	ETF
000786	北新建材	A股
002838	道恩股份	A股
00700	腾讯控股	港股
02099	中国黄金国际	港股
000830	鲁西化工	A股
03330	灵宝黄金	港股
159518	标普油气ETF嘉实	ETF
002493	荣盛石化	A股
159796	电池ETF汇添富	ETF
01171	兖矿能源	港股
603565	中谷物流	A股
603167	渤海轮渡	A股
002001	新 和 成	A股
600727	鲁北化工	A股
002128	电投能源	A股
601717	中创智领	A股
300750	宁德时代	A股
000703	恒逸石化	A股
300274	阳光电源	A股
00883	中国海洋石油	港股
01088	中国神华	港股
560280	工程机械ETF广发	ETF
159731	石化ETF华夏	ETF
512040	价值100ETF富国	ETF
159562	黄金股ETF华夏	ETF
600989	宝丰能源	A股
561570	油气ETF华泰柏瑞	ETF
601225	陕西煤业	A股
518880	黄金ETF华安	ETF
159326	电网设备ETF华夏	ETF
000807	云铝股份	A股
000933	神火股份	A股
513910	港股通央企红利ETF华夏	ETF
513630	港股低波红利ETF摩根	ETF
159307	红利低波100ETF博时	ETF
512890	红利低波ETF华泰柏瑞	ETF
